Input,Target
"peace - the dignity of man - the destiny of the human spirit!  show me a man who says you win <u>those</u> by fighting wars, and <u>i'll</u> show you an idiot!","you may not <u>win</u> them.  but without men like your father, to 'degrade' himself by fighting to preserve them - or as much as we have of them - they'd have disappeared, <u>long</u> ago!"
unidentified flying objects.,then...this is a 'flying saucer?'
"that's enough, holloway.  i've told you before, wearing boards on your shoulders, and parading with a stiff spine doesn't auto- matically endow you with back- bone - !",- any more than being the son of captain neilsen does!
"however our ideas disagree, as i've said before, i'm <u>not</u> a coward!  and it happens you've got no choice:  either <u>i</u> take you down there, in the lungfish, or you don't get there -",i'd sooner swim!
"they're so remote - cold - beautiful, the stars.  but now - i wonder -",yes?
yes?,which is the one - we have to worry about?
"maybe - just 'maybe' - when their ship doesn't return - they'll decide not to come here, after all.",but if they <u>do</u>?
but if they <u>do</u>?,i don't know.
i don't know.,"i wouldn't worry.  so long as we have boats like the tiger shark - and people like you, the skipper, dave, kent, sir ian and my father -"
"i wouldn't worry.  so long as we have boats like the tiger shark - and people like you, the skipper, dave, kent, sir ian and my father -","and his 'egghead' son!  we'll give 'em a <u>rough</u> <u>reception</u>, won't we?"
"now, dave old buddy, you know you're exaggerating -  what do you think of this husband of yours?  on most boats a certain loyalty exists between the exec and his navigation and firing officer.  but unfortunately, in the case of lieutenant dave milburn of the tiger shark and myself -","but julie's a nice girl, and i've seen you work.  she deserves a fighting chance!"
"but julie's a nice girl, and i've seen you work.  she deserves a fighting chance!",helen.  i appeal to you -
reef!,"so they caught up with you, too?"
"so they caught up with you, too?",at the worst possible moment. tomorrow is janie's birthday. poor little kid has looked forward for two months to having her daddy home.  now -
at the worst possible moment. tomorrow is janie's birthday. poor little kid has looked forward for two months to having her daddy home.  now -,<u>that's</u> the worst possible moment?
<u>that's</u> the worst possible moment?,what could be worse than disappoint- ing a little girl?
what could be worse than disappoint- ing a little girl?,disappointing a <u>big</u> girl!
you've asked why i stay a bachelor? there goes the best reason i know!,huh?
huh?,i might have a son like <u>that!</u>
"i guess skipper neilsen re- tired before you enrolled at the academy, didn't he?",i guess.
i guess.,"one of the finest men, and officers, alive.  a real hero - in the best sense of the word - in world war two.  he taught us engineering and design. fought like a demon to develop atom subs."
"one of the finest men, and officers, alive.  a real hero - in the best sense of the word - in world war two.  he taught us engineering and design. fought like a demon to develop atom subs.",so?
so?,"so all of a sudden his only son drops out of school, be- gins making noises like a pacifist.  a real egghead, do-gooder, and crackpot!  'ban the atom tests!  junk the nuclear subs!  spend the mili- tary budgetfor peace!'"
"so all of a sudden his only son drops out of school, be- gins making noises like a pacifist.  a real egghead, do-gooder, and crackpot!  'ban the atom tests!  junk the nuclear subs!  spend the mili- tary budgetfor peace!'",a lot of people think like that.
"but <u>they're</u> not skipper neilsen's son!  it broke his heart.  then when some newspapers called carl 'the honest, sincere son of a war-mongering father' - captain neilsen resigned from the navy.  oh, he still keeps his hand in - playing around with projects like the 'lungfish' - but it broke him, all the same.",have you ever talked to carl - tried to see his side?
have you ever talked to carl - tried to see his side?,"'his' side?  i've seen it, all right. a nice, bright yellow!"
cyclops?,"sounds like it!  distress call, from a small freighter, between ellesmere island and greenland. one mayday, then...nothing."
we're stuck tight!,skipper!  look at the depth gauge!
"you've got to let us try, skipper --",'us?'
'us?',"reef and i can take the explorer down, clamp it around the eye, and ---"
"you all wait here.  i'm going inside, take a look.","not <u>alone</u>, you're not!"
"how about that! the bow drove half through her, but she sealed herself right up.","what's more important - there's our problem.  the bow ram - the sawteeth are holding the shark in the break. if we can cut the ram, the shark can pull herself loose!"
"what's more important - there's our problem.  the bow ram - the sawteeth are holding the shark in the break. if we can cut the ram, the shark can pull herself loose!",i think you're right.
i think you're right.,go back and tell dr. neilsen. have him report to the skipper.
yeah?,listen!  hear that?
i don't hear anything.  maybe you've been down here too long.  why don't you go back up and -,strange you didn't hear it. omit 274f
hey - you know somethin'?  it's getting lighter in here!,you know - it <u>is</u>?
and if i didn't <u>know</u> better - i'd swear we were moving!,"let's get back to work, and maybe we <u>will</u> be, soon."
you hear that?,the sound again?
where do you think the voice you heard was coming from?,somewhere down there?
somewhere down there?,wonder where powell and carney are?
wonder where powell and carney are?,we'll have to look for them later.
well?,i'm with <u>you!</u>
here - keep these.  it wants me to come alone.,oh it does???
dave - !,"what's goin' on in here, lad? what - ?"
get ready.  we shove off as soon as griff reports all the crew aboard.,"right, skipper."
is there any way out of it?,seems to be all around...
seems to be all around...,what about down?
